date,adj_close
6/24/1986,247.03
6/25/1986,248.93
6/26/1986,248.74
6/27/1986,249.6
6/30/1986,250.84
7/1/1986,252.04
7/2/1986,252.7
7/3/1986,251.79
7/4/1986,251.79
7/7/1986,244.05
7/8/1986,241.59
7/9/1986,242.82
7/10/1986,243.01
7/11/1986,242.22
7/14/1986,238.11
7/15/1986,233.66
7/16/1986,235.01
7/17/1986,236.07
7/18/1986,236.36
7/21/1986,236.24
7/22/1986,238.18
7/23/1986,238.67
7/24/1986,237.95
7/25/1986,240.22
7/28/1986,236.01
7/29/1986,234.55
7/30/1986,236.59
7/31/1986,236.12
8/1/1986,234.91
8/4/1986,235.99
8/5/1986,237.03
8/6/1986,236.84
8/7/1986,237.04
8/8/1986,236.88
8/11/1986,240.68
8/12/1986,243.34
8/13/1986,245.67
8/14/1986,246.22
8/15/1986,247.15
8/18/1986,247.38
8/19/1986,246.51
8/20/1986,249.77
8/21/1986,249.67
8/22/1986,250.19
8/25/1986,247.81
8/26/1986,252.84
8/27/1986,253
8/28/1986,252.84
8/29/1986,252.93
9/1/1986,252.93
9/2/1986,248.52
9/3/1986,250.08
9/4/1986,253.82
9/5/1986,250.48
9/8/1986,248.14
9/9/1986,247.67
9/10/1986,247.06
9/11/1986,235.18
9/12/1986,230.68
9/15/1986,231.94
9/16/1986,231.72
9/17/1986,231.68
9/18/1986,232.31
9/19/1986,232.21
9/22/1986,234.93
9/23/1986,235.67
9/24/1986,236.28
9/25/1986,231.83
9/26/1986,232.23
9/29/1986,229.91
9/30/1986,231.32
10/1/1986,233.6
10/2/1986,233.92
10/3/1986,233.71
10/6/1986,234.78
10/7/1986,234.41
10/8/1986,236.68
10/9/1986,235.85
10/10/1986,235.48
10/13/1986,235.91
10/14/1986,235.37
10/15/1986,238.8
10/16/1986,239.53
10/17/1986,238.84
10/20/1986,235.97
10/21/1986,235.88
10/22/1986,236.26
10/23/1986,239.28
10/24/1986,238.26
10/27/1986,238.77
10/28/1986,239.26
10/29/1986,240.94
10/30/1986,243.71
10/31/1986,243.98
11/3/1986,245.8
11/4/1986,246.2
11/5/1986,246.58
11/6/1986,245.87
11/7/1986,245.77
11/10/1986,246.13
11/11/1986,247.08
11/12/1986,246.64
11/13/1986,243.02
11/14/1986,244.5
11/17/1986,243.21
11/18/1986,236.78
11/19/1986,237.66
11/20/1986,242.05
11/21/1986,245.86
11/24/1986,247.45
11/25/1986,248.17
11/26/1986,248.77
11/27/1986,248.77
11/28/1986,249.22
12/1/1986,249.05
12/2/1986,254
12/3/1986,253.83
12/4/1986,253.04
12/5/1986,251.17
12/8/1986,251.16
12/9/1986,249.28
12/10/1986,250.96
12/11/1986,248.17
12/12/1986,247.35
12/15/1986,248.21
12/16/1986,250.04
12/17/1986,247.56
12/18/1986,246.78
12/19/1986,249.44
12/22/1986,248.75
12/23/1986,246.34
12/24/1986,246.75
12/25/1986,246.75
12/26/1986,246.92
12/29/1986,244.67
12/30/1986,243.37
12/31/1986,242.17
1/1/1987,242.17
1/2/1987,246.45
1/5/1987,252.19
1/6/1987,252.78
1/7/1987,255.33
1/8/1987,257.28
1/9/1987,258.73
1/12/1987,260.3
1/13/1987,259.95
1/14/1987,262.64
1/15/1987,265.49
1/16/1987,266.28
1/19/1987,269.34
1/20/1987,269.04
1/21/1987,267.84
1/22/1987,273.91
1/23/1987,270.11
1/26/1987,269.61
1/27/1987,273.75
1/28/1987,275.4
1/29/1987,274.24
1/30/1987,274.08
2/2/1987,276.45
2/3/1987,275.99
2/4/1987,279.64
2/5/1987,281.16
2/6/1987,280.04
2/9/1987,278.16
2/10/1987,275.07
2/11/1987,277.54
2/12/1987,275.62
2/13/1987,279.7
2/16/1987,279.7
2/17/1987,285.49
2/18/1987,285.42
2/19/1987,285.57
2/20/1987,285.48
2/23/1987,282.38
2/24/1987,282.88
2/25/1987,284
2/26/1987,282.96
2/27/1987,284.2
3/2/1987,283
3/3/1987,284.12
3/4/1987,288.62
3/5/1987,290.52
3/6/1987,290.66
3/9/1987,288.3
3/10/1987,290.86
3/11/1987,290.31
3/12/1987,291.22
3/13/1987,289.89
3/16/1987,288.23
3/17/1987,292.47
3/18/1987,292.78
3/19/1987,294.08
3/20/1987,298.17
3/23/1987,301.16
